pxcor,pycor,Lat,long
0,110,56,-8
1,110,56,-7.984
2,110,56,-7.968
3,110,56,-7.952
4,110,56,-7.936
5,110,56,-7.92
6,110,56,-7.904
7,110,56,-7.888
8,110,56,-7.872
9,110,56,-7.856
10,110,56,-7.84
11,110,56,-7.824
12,110,56,-7.809
13,110,56,-7.793
14,110,56,-7.777
15,110,56,-7.761
16,110,56,-7.745
17,110,56,-7.729
18,110,56,-7.713
19,110,56,-7.697
20,110,56,-7.681
21,110,56,-7.665
22,110,56,-7.649
23,110,56,-7.633
24,110,56,-7.617
25,110,56,-7.601
26,110,56,-7.585
27,110,56,-7.569
28,110,56,-7.553
29,110,56,-7.537
30,110,56,-7.521
31,110,56,-7.505
32,110,56,-7.489
33,110,56,-7.473
34,110,56,-7.457
35,110,56,-7.441
36,110,56,-7.426
37,110,56,-7.41
38,110,56,-7.394
39,110,56,-7.378
40,110,56,-7.362
41,110,56,-7.346
42,110,56,-7.33
43,110,56,-7.314
44,110,56,-7.298
45,110,56,-7.282
46,110,56,-7.266
47,110,56,-7.25
48,110,56,-7.234
49,110,56,-7.218
50,110,56,-7.202
51,110,56,-7.186
52,110,56,-7.17
53,110,56,-7.154
54,110,56,-7.138
55,110,56,-7.122
56,110,56,-7.106
57,110,56,-7.09
58,110,56,-7.074
59,110,56,-7.059
60,110,56,-7.043
61,110,56,-7.027
62,110,56,-7.011
63,110,56,-6.995
64,110,56,-6.979
65,110,56,-6.963
66,110,56,-6.947
67,110,56,-6.931
68,110,56,-6.915
69,110,56,-6.899
70,110,56,-6.883
71,110,56,-6.867
72,110,56,-6.851
73,110,56,-6.835
74,110,56,-6.819
75,110,56,-6.803
76,110,56,-6.787
77,110,56,-6.771
78,110,56,-6.755
79,110,56,-6.739
80,110,56,-6.723
81,110,56,-6.707
82,110,56,-6.691
83,110,56,-6.676
84,110,56,-6.66
85,110,56,-6.644
86,110,56,-6.628
87,110,56,-6.612
88,110,56,-6.596
89,110,56,-6.58
90,110,56,-6.564
91,110,56,-6.548
92,110,56,-6.532
93,110,56,-6.516
94,110,56,-6.5
0,109,55.991,-8
1,109,55.991,-7.984
2,109,55.991,-7.968
3,109,55.991,-7.952
4,109,55.991,-7.936
5,109,55.991,-7.92
6,109,55.991,-7.904
7,109,55.991,-7.888
8,109,55.991,-7.872
9,109,55.991,-7.856
10,109,55.991,-7.84
11,109,55.991,-7.824
12,109,55.991,-7.809
13,109,55.991,-7.793
14,109,55.991,-7.777
15,109,55.991,-7.761
16,109,55.991,-7.745
17,109,55.991,-7.729
18,109,55.991,-7.713
19,109,55.991,-7.697
20,109,55.991,-7.681
21,109,55.991,-7.665
22,109,55.991,-7.649
23,109,55.991,-7.633
24,109,55.991,-7.617
25,109,55.991,-7.601
26,109,55.991,-7.585
27,109,55.991,-7.569
28,109,55.991,-7.553
29,109,55.991,-7.537
30,109,55.991,-7.521
31,109,55.991,-7.505
32,109,55.991,-7.489
33,109,55.991,-7.473
34,109,55.991,-7.457
35,109,55.991,-7.441
36,109,55.991,-7.426
37,109,55.991,-7.41
38,109,55.991,-7.394
39,109,55.991,-7.378
40,109,55.991,-7.362
41,109,55.991,-7.346
42,109,55.991,-7.33
43,109,55.991,-7.314
44,109,55.991,-7.298
45,109,55.991,-7.282
46,109,55.991,-7.266
47,109,55.991,-7.25
48,109,55.991,-7.234
49,109,55.991,-7.218
50,109,55.991,-7.202
51,109,55.991,-7.186
52,109,55.991,-7.17
53,109,55.991,-7.154
54,109,55.991,-7.138
55,109,55.991,-7.122
56,109,55.991,-7.106
57,109,55.991,-7.09
58,109,55.991,-7.074
59,109,55.991,-7.059
60,109,55.991,-7.043
61,109,55.991,-7.027
62,109,55.991,-7.011
63,109,55.991,-6.995
64,109,55.991,-6.979
65,109,55.991,-6.963
66,109,55.991,-6.947
67,109,55.991,-6.931
68,109,55.991,-6.915
69,109,55.991,-6.899
70,109,55.991,-6.883
71,109,55.991,-6.867
72,109,55.991,-6.851
73,109,55.991,-6.835
74,109,55.991,-6.819
75,109,55.991,-6.803
76,109,55.991,-6.787
77,109,55.991,-6.771
78,109,55.991,-6.755
79,109,55.991,-6.739
80,109,55.991,-6.723
81,109,55.991,-6.707
82,109,55.991,-6.691
83,109,55.991,-6.676
84,109,55.991,-6.66
85,109,55.991,-6.644
86,109,55.991,-6.628
87,109,55.991,-6.612
88,109,55.991,-6.596
89,109,55.991,-6.58
