date,SST,year,month,day,Total_Cal,Total_pseudCent
4/1/82,280.6740076,1982,4,1,1250,2500
4/2/82,280.619609,1982,4,2,1030,3000
4/3/82,280.6411168,1982,4,3,810,3500
4/4/82,280.8261012,1982,4,4,590,4000
4/5/82,280.8843889,1982,4,5,370,4500
4/6/82,280.9178516,1982,4,6,150,5000
4/7/82,281.1093663,1982,4,7,139,4444.4
4/8/82,281.1505552,1982,4,8,128,3888.9
4/9/82,281.1406384,1982,4,9,117,3333.3
4/10/82,281.152888,1982,4,10,106,2777.8
4/11/82,281.1487667,1982,4,11,94,2222.2
4/12/82,281.1501428,1982,4,12,83,1666.7
4/13/82,281.1790336,1982,4,13,72,1111.1
4/14/82,281.1937927,1982,4,14,61,555.6
4/15/82,281.352427,1982,4,15,50,0
4/16/82,281.7264304,1982,4,16,400,20000
4/17/82,281.8823091,1982,4,17,250,10000
4/18/82,281.755096,1982,4,18,100,0
4/19/82,281.9785518,1982,4,19,16650,10000
4/20/82,281.9890336,1982,4,20,13730,10500
4/21/82,281.8772485,1982,4,21,10810,11000
4/22/82,282.0501635,1982,4,22,7890,11500
4/23/82,282.0502294,1982,4,23,4970,12000
4/24/82,281.9956575,1982,4,24,2050,12500
4/25/82,281.9957649,1982,4,25,3975,13750
4/26/82,282.3124166,1982,4,26,5900,15000
4/27/82,282.4249365,1982,4,27,7825,16250
4/28/82,282.5822814,1982,4,28,9750,17500
4/29/82,282.5907944,1982,4,29,11675,18750
4/30/82,282.5597996,1982,4,30,13600,20000
5/1/82,282.4932866,1982,5,1,3000,12500
5/2/82,282.3878238,1982,5,2,2769,11730.8
5/3/82,282.3686453,1982,5,3,2538,10961.5
5/4/82,282.355245,1982,5,4,2308,10192.3
5/5/82,282.337498,1982,5,5,2077,9423.1
5/6/82,282.0164304,1982,5,6,1846,8653.8
5/7/82,282.0790336,1982,5,7,1615,7884.6
5/8/82,282.0232485,1982,5,8,1385,7115.4
5/9/82,281.8774183,1982,5,9,1154,6346.2
5/10/82,282.1820041,1982,5,10,923,5576.9
5/11/82,282.2079556,1982,5,11,692,4807.7
5/12/82,282.14407,1982,5,12,462,4038.5
5/13/82,282.1923195,1982,5,13,231,3269.2
5/14/82,282.2188914,1982,5,14,0,2500
5/15/82,282.3731583,1982,5,15,1750,55000
5/16/82,282.4026523,1982,5,16,350,0
5/17/82,282.4259209,1982,5,17,14400,5000
5/18/82,282.4156401,1982,5,18,11580,4000
5/19/82,283.1958412,1982,5,19,8760,3000
5/20/82,283.3937614,1982,5,20,5940,2000
5/21/82,283.4165795,1982,5,21,3120,1000
5/22/82,283.4582086,1982,5,22,300,0
5/23/82,283.6793178,1982,5,23,233,5000
5/24/82,283.757602,1982,5,24,167,10000
5/25/82,283.4496678,1982,5,25,100,15000
5/26/82,283.4302363,1982,5,26,12525,51250
5/27/82,283.4708082,1982,5,27,24950,87500
5/28/82,283.4809053,1982,5,28,13500,46250
5/29/82,283.4834287,1982,5,29,2050,5000
5/30/82,283.4841739,1982,5,30,14050,87500
5/31/82,283.4841184,1982,5,31,12294,76562.5
6/1/82,283.6414148,1982,6,1,10538,65625
6/2/82,284.3726938,1982,6,2,8781,54687.5
6/3/82,284.5659243,1982,6,3,7025,43750
6/4/82,284.9838273,1982,6,4,5269,32812.5
6/5/82,285.7603818,1982,6,5,3513,21875
6/6/82,285.921699,1982,6,6,1756,10937.5
6/7/82,286.108874,1982,6,7,0,0
6/8/82,286.1694044,1982,6,8,2600,10000
6/9/82,286.4361946,1982,6,9,5200,20000
